,anime_id,name,genre,type,episodes,rating,members,overview
11,28851,A Silent Voice,"['Animation', 'Drama', 'Romance']",movie,1,9.05,102733,"['A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.::ralo229', 'The story revolves around Nishimiya Shoko, a grade school student who has impaired hearing. She transfers into a new school, where she is bullied by her classmates, especially Ishida Shouya. It gets to the point where she transfers to another school and as a result, Shouya is ostracized and bullied himself, with no friends to speak to and no plans for the future. Years later, he sets himself on a path to redemption.::Ariodito Koestoer']"
12,918,Gintama,"['Animation', 'Action', 'Comedy', 'Sci-Fi']",tv series,201,9.04,336376,"['In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.', ""In the early 17th century, Japan adopted strict isolation policies and severed almost all ties with foreign countries. In 1853, the US fleet commanded by Admiral Perry forced the doors open, leading to a modernization of the nation's sociopolitical systems and the eventual fall of the Shogunate. The samurai regime ended its life with the imperial restoration in 1868. That's what history tells, but in Gintama, that's not what happens. Instead of the US fleet, the country is stormed by spaceships coming from four corners of the universe and soon we see it occupied by extraterrestrials. The Shogunate has become a puppet of alien occupation armies. All samurais have been disarmed and reduced to temp workers with no skills who just try to make ends meet. Gintama is a story of a handyman named Gintoki, a samurai with no respect for rules set by the invaders, who's ready to take any job to survive. He and his gang, however, are also among the very few who have not forgotten the morale of a swordsman. Wherever they go, all they do is to create troubles. Troubles that they of course try to solve, but in reality...::Crunchyroll.com""]"
15,199,Spirited Away,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Mystery']",movie,1,8.93,466254,"[""During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.::Anonymous"", ""Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world.::Zachary Harper"", ""10-year-old Chihiro and her parents are riding along during a family outing through the countryside when they stumble across an amusement park that has seemingly been abandoned for years. Despite Chihiro's premonitions about the creepy setting, her parents explore the area and eventually discover and indulge in an empty eatery filled with fresh food. As a result of their unfaithfulness, they are magically turned into pigs, which in turn scares away Chihiro. She meets the enigmatic Haku, who explains to her that this land is actually a magical bath house, a kind of holiday resort, where supernatural beings seek comfort away from the earthly realm and she must work here, as laziness is not permitted, to free both herself and her parents from the mystical land.::Kyle Perez"", 'Tale of the fanciful adventures of a ten-year-old girl named Chihiro, who discovers a secret world when she and her family get lost and venture through a hillside tunnel. When her parents undergo a mysterious transformation, Chihiro must fend for herself as she encounters strange spirits, assorted creatures and a grumpy sorceress who seeks to prevent her from returning to the human world.::Jwelch5742', '10-year-old Chihiro and her parents stumble upon a seemingly abandoned amusement park. After her mother and father are turned into giant pigs, Chihiro meets the mysterious Haku, who explains that the park is a resort for supernatural beings who need a break from their time spent in the earthly realm, and that she must work there to free herself and her parents.::Jwelch5742', ""Chihiro and her family are on their way to their new house in the suburbs when her father decides to take a shortcut along a lonely-looking dirt road. After getting out of the car and walking along a path for a while, they discover an open-air restaurant filled with food but with no workers or customers present. Mom and Dad don't hesitate to sit down and dig in, but Chihiro senses danger and refuses. As night falls, she is terrified to see the area fill with faceless spirits, but when she runs to find her parents, she discovers that they have been turned into pigs. She is found by a mysterious boy named Haku, who promises to help her. He gets her a job working in a nearby building, which turns out to be a bathhouse for the thousands of Japan's gods and spirits. Though the work is hard and the people strange, she does as well as she can. Her parents, however, are still waiting in the hotel's stockyard, and Chihiro must find a way to break the spell on them before they end up as the main course of some guest's dinner.::Jean-Marc Rocher <rocher@fiberbit.net>""]"
16,23273,Shigatsu Wa Kimi No Uso - Sekunden in Moll,"['Animation', 'Drama', 'Music', 'Romance']",tv series,22,8.92,416397,"['A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.::J.A. Romo', ""The story follows Arima Kousei, a skilled pianist. However, he hasn't played since he played for his mother who died a few years ago. One day Arima meets a brilliant violinist at the park. After their meeting she tries to guide Arima back into the world of music."", ""Piano prodigy Arima Kousei dominated the competition and all child musicians knew his name. But after his mother, who was also his instructor, passed away, he had a mental breakdown while performing at a recital that resulted in him no longer being able to hear the sound of his piano even though his hearing was perfectly fine. Even two years later, Kousei hasn't touched the piano and views the world in monotone, and without any flair or color. He was content at living out his life with his good friends Tsubaki and Watari until, one day, a girl changed everything. Miyazono Kaori is a pretty, free spirited violinist whose playing style reflects her personality. Kaori helps Kousei return to the music world and show that it should be free and mold breaking unlike the structured and rigid style Kousei was used to.::GAP 93"", ""Piano child prodigy Kosei Arima dominated the competition and has become famous among child musicians. After his mother, who was also his instructor, died, he had a mental breakdown while performing at a piano recital at the age of twelve. As a result, he is no longer able to hear the sound of his own piano playing. Two years later, Kosei still hasn't touched the piano and views the world in monochrome, without any flair or color. He has resigned himself to living out his life with his good friends, Tsubaki and Watari, until, one day, a girl changes everything. A fourteen-year old audacious, Kaori Miyazono is a free-spirited violinist whose playing style reflects her manic personality, helps Kosei return to the music world and shows that it should be free and mold breaking unlike the structured and rigid style Kosei was used to.""]"
17,24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",tv series,10,8.88,75894,"['A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.::J.A. Romo', ""The story follows Arima Kousei, a skilled pianist. However, he hasn't played since he played for his mother who died a few years ago. One day Arima meets a brilliant violinist at the park. After their meeting she tries to guide Arima back into the world of music."", ""Piano prodigy Arima Kousei dominated the competition and all child musicians knew his name. But after his mother, who was also his instructor, passed away, he had a mental breakdown while performing at a recital that resulted in him no longer being able to hear the sound of his piano even though his hearing was perfectly fine. Even two years later, Kousei hasn't touched the piano and views the world in monotone, and without any flair or color. He was content at living out his life with his good friends Tsubaki and Watari until, one day, a girl changed everything. Miyazono Kaori is a pretty, free spirited violinist whose playing style reflects her personality. Kaori helps Kousei return to the music world and show that it should be free and mold breaking unlike the structured and rigid style Kousei was used to.::GAP 93"", ""Piano child prodigy Kosei Arima dominated the competition and has become famous among child musicians. After his mother, who was also his instructor, died, he had a mental breakdown while performing at a piano recital at the age of twelve. As a result, he is no longer able to hear the sound of his own piano playing. Two years later, Kosei still hasn't touched the piano and views the world in monochrome, without any flair or color. He has resigned himself to living out his life with his good friends, Tsubaki and Watari, until, one day, a girl changes everything. A fourteen-year old audacious, Kaori Miyazono is a free-spirited violinist whose playing style reflects her manic personality, helps Kosei return to the music world and shows that it should be free and mold breaking unlike the structured and rigid style Kosei was used to.""]"
18,12355,Ame & Yuki - Die Wolfskinder,"['Animation', 'Drama', 'Family', 'Fantasy']",movie,1,8.84,226193,"['After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.::weijaytan-2015']"
20,263,Hajime no ippo,"['Animation', 'Action', 'Comedy', 'Sport']",tv series,75,8.83,157670,"[""Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning.::GAP 93""]"
22,1,Cowboy Bebop,"['Animation', 'Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",tv series,26,8.82,486824,"['The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.::Kenneth Chisholm', 'Spike Spiegel is a bounty hunter in the far future with an easy going attitude and some deadly skill at martial arts. Together with his partners, Jet Black, and later Faye Valentine as well, they go from job to job across the galaxy looking for the high priced fugitives to bag.::Kenneth Chisholm <kchishol@execulink.com>', 'In the year 2071, the Solar System is linked by a network of hyperspace gateways. Police lose their grasp on crime and a bounty hunting system has been implemented. On an old fishing starship called the ""Bebop,"" a cool as Zen man of mystery, a macho former hard-boiled cop, a brash and fickle woman with a large debt, a whimsical whiz kid hacker and an unsuspecting Welsh Corgi band together to hunt bounty heads for a meager living. Unfortunately, they are some of the unluckiest people in the star system. These are the stories of the adventurous (and misadventurous) lives of four struggling people and a dog.::Edward Tivrusky IV <KilroyRoboto@juno.com>']"
23,30276,One-Punch Man,"['Animation', 'Action', 'Comedy', 'Sci-Fi']",tv series,12,8.82,552458,"['The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.', 'In a world of superhuman beings, Saitama is a unique hero, he can defeat enemies with a single punch. But being just one hero in a world filled with them, his life is empty and hollow: he gets no respect from anyone, he displays a laidback attitude to everything and for the most part, he finds his overall hero life pointless... and worst of all, he lost his hair due to intense training. These are the adventures of an ordinary yet extraordinary hero.', ""Follows the life of an average hero who manages to win all of his punches with one punch! This ends up being the cause of a lot of frustration as he no longer feels the thrill and adrenaline of fighting a tough battle. Maybe all of his rigorous training to become strong wasn't worth it. After all, what's so good about having an overwhelming power?::Ethan Bardaje"", 'Saitama, the protagonist, is an exceptionally powerful hero who easily defeats the monsters or other villains with a single punch. However, due to his overwhelming strength, Saitama has become bored with his powers and is constantly trying to find stronger opponents who can fight him.']"
24,164,Princess Mononoke: How the Film Was Conceived,['Documentary'],video movie,1,8.81,339556,"[""Behind-the-scenes documentaries about 'Princess Mononoke,' from the film's conception up to its theatrical release and after - eventually rewriting the box office record in Japan. The documentaries include: Behind-the-scenes production process at the studios, the vocal cast doing overdubs and ADR sessions, featurette on the impact of the film on Japanese society.""]"
25,7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",video movie,1,8.81,240297,"[""Behind-the-scenes documentaries about 'Princess Mononoke,' from the film's conception up to its theatrical release and after - eventually rewriting the box office record in Japan. The documentaries include: Behind-the-scenes production process at the studios, the vocal cast doing overdubs and ADR sessions, featurette on the impact of the film on Japanese society.""]"
26,17074,Monogatari Series: Second Season,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",tv series,26,8.8,205959,"[""Walking to school one day Tsubasa Hanekawa encounters a huge white tiger apparition at a crossroads that talks to her. The next day her house burns down. Homeless, and not wanting to stay with her family, she lies and tells them she has a place to stay, but instead sleeps in the old cram school. She's awakened by an angry and upset Hitagi Senjogahara who ridicules her for worrying her and drags her to her place to stay instead. The two of them soon discover that Araragi has gone missing and has urged them in a text message not to look for him.::MyAnimeList""]"
27,21939,Mushishi: Zoku-Sho,"['Animation', 'Drama', 'Fantasy', 'Mystery', 'Thriller']",tv series,10,8.8,101351,"['They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre creatures and called them ""Mushi."" People once again began to believe in the existence of these ""Mushi"" when they began affecting their lives in inexplicable ways. The one who connects the world of ""Mushi"" to the world of humans-they were called the ""Mushi-shi."" All life exists not to hinder others in this world. They are simply there to live as they were meant to. (Source: Aniplex USA)']"
28,457,Mushi-Shi,"['Animation', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",tv series,26,8.78,300030,"['They are neither plants nor animals. They differ from other forms of life such as the micro-organisms and the fungi. Instead they resemble the primeval body of life and are generally known as ""Mushi"". Their existence and appearance are unknown to many and only a limited number of humans are aware of them. Ginko is a ""Mushi-shi"" who travels around to investigate and find out more about the ""Mushi"". In the process, he also lends a helping hand to people who face problems with supernatural occurrences which may be related to the ""Mushi"".::Anime News Network']"
29,2001,Tengen toppa gurren lagann,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",tv series,27,8.78,562962,"['Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.::Tyler Smith', ""In their closed-off underground village, Kamina and Simon chafe at the limits imposed by the village elder. Yet all this will change, when Simon stumbles across a fantastic device - just as the village's peace is broken by a violent intrusion.::ANN"", 'In a bleak future where humanity is oppressed by an army of mutants and forced to live underground, a young orphan unearths a powerful robot. Together with a boisterous man named Kamina, a beautiful sharpshooter named Yoko and many other friends, they use the robots power to fight against their oppressors and take back the surface.::Anonymous']"
30,245,GTO,"['Animation', 'Comedy', 'Drama', 'Romance']",tv series,43,8.77,268487,"['About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.::anonymous', 'Former biker gang leader Eikichi Onizuka has a new and reformed ambition: to become the greatest teacher ever. With a rowdy (and somewhat illegal) teaching style, and weakness for pretty girls, Mr. Onizuka finds himself in one predicament after another on his quest to «make school fun».']"
31,32983,Natsume yûjinchô,"['Animation', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery']",tv series,13,8.76,38865,['When Natsume Takashi inherits a book that belonged to his late grandmother he realizes the book is filled with the names of spirits she defeated and bound to her will. He then decides to return their names so they can be free once again.::Brandon Lebron']
32,5258,Hajime no Ippo: New Challenger,"['Animation', 'Action', 'Comedy', 'Sport']",tv series,26,8.75,88995,"['Ippo continues to defend his title and training to reach his goal, Ichiro Miyata. While Takamura goes for the world, and faces the world champion, Brian Hawk. In what is to become his toughest fight so far.::Alexander Schuster Jenssen']"
33,28957,Mushi-Shi Zoku Shou: Suzu no Shizuku,"['Animation', 'Fantasy']",movie,1,8.75,32266,"[""An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko's peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.::MAL Rewrite""]"
34,11665,Natsume yûjinchô,"['Animation', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery']",tv series,13,8.75,98431,['When Natsume Takashi inherits a book that belonged to his late grandmother he realizes the book is filled with the names of spirits she defeated and bound to her will. He then decides to return their names so they can be free once again.::Brandon Lebron']
37,31757,Kizumonogatari II - Heißes Blut,"['Animation', 'Action', 'Drama', 'Horror']",movie,1,8.73,34347,"['In the spring of his second year of high school, Koyomi Araragi met the beautiful vampire Kiss-shot Acerola-orion Heart-under-blade. Koyomi saved Kiss-shot, who was on the verge of death with all four of her limbs cut off, but only at the expense of becoming her minion and a vampire. ""In order to go back to being a human again, you must take back all of Kiss-shot\'s limbs."" After receiving advice from Meme Oshino, an expert in the supernatural, Koyomi prepares to go into battle. Awaiting him are three powerful vampire hunters-Dramaturgy, a giant vampire hunter who is a vampire himself. Episode, a half-vampire who wields an enormous cross, and Guillotinecutter, a quiet man who specializes in killing vampires. Will Koyomi be able to take back Kiss-shot\'s limbs from the vampire hunters? Amidst the soft spring rain, the curtain rises on this fateful blood bath.']"
38,19,Monster,"['Biography', 'Crime', 'Drama', 'Thriller']",movie,74,8.72,247562,"['Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.::jgp3553@yahoo.com', 'The true story of serial killer Aileen Wuornos who was convicted of luring men to their death and eventually executed in 2002. In 1989, she was working as a prostitute and finally makes a friend when she meets and begins a relationship with a young woman, Selby. Determined to straighten out her life, she tries to find legitimate work but with little education and limited social skills, she fails at every turn. She starts working as a hooker hitching rides along the local interstate highway and after robbing a few clients has an encounter with a vicious client whom she kills in self-defense. After that however she just takes to killing clients taking their money and car. Once arrested she claims self-defense but is eventually convicted.::garykmcd', ""A dark tale based on the true story of Aileen Wuornos, one of America's first female serial killers. Wuornos had a difficult and cruel childhood plagued by abuse and drug use in Michigan. She became a prostitute by the age of thirteen, the same year she became pregnant. She eventually moved to Florida where she began earning a living as a highway prostitute--servicing the desires of semi-truck drivers. The tale focuses on the nine month period between 1989 and 1990, during which Wuornos had a lesbian relationship with a woman named Selby. And during that very same time, she also began murdering her clientèle in order to get money without using sex. This turned the tables on a rather common phenomenon of female highway prostitutes being the victims of serial killers--instead Wuornos, herself, carried out the deeds of a cold-blooded killer.::Sujit R. Varma""]"
39,12365,Bakuman 3rd Season,"Comedy, Drama, Romance, Shounen",movie,25,8.71,133620,"['Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.::jgp3553@yahoo.com', 'The true story of serial killer Aileen Wuornos who was convicted of luring men to their death and eventually executed in 2002. In 1989, she was working as a prostitute and finally makes a friend when she meets and begins a relationship with a young woman, Selby. Determined to straighten out her life, she tries to find legitimate work but with little education and limited social skills, she fails at every turn. She starts working as a hooker hitching rides along the local interstate highway and after robbing a few clients has an encounter with a vicious client whom she kills in self-defense. After that however she just takes to killing clients taking their money and car. Once arrested she claims self-defense but is eventually convicted.::garykmcd', ""A dark tale based on the true story of Aileen Wuornos, one of America's first female serial killers. Wuornos had a difficult and cruel childhood plagued by abuse and drug use in Michigan. She became a prostitute by the age of thirteen, the same year she became pregnant. She eventually moved to Florida where she began earning a living as a highway prostitute--servicing the desires of semi-truck drivers. The tale focuses on the nine month period between 1989 and 1990, during which Wuornos had a lesbian relationship with a woman named Selby. And during that very same time, she also began murdering her clientèle in order to get money without using sex. This turned the tables on a rather common phenomenon of female highway prostitutes being the victims of serial killers--instead Wuornos, herself, carried out the deeds of a cold-blooded killer.::Sujit R. Varma""]"
